i E_i n_i n_i/dE
1 0 18.8869583882 3.77739167764
2 5 116.955759331 23.3911518662
3 10 273.198503663 54.6397007325
4 15 450.142105167 90.0284210334
5 20 619.214587182 123.842917436
6 25 761.543791108 152.308758222
7 30 867.183979764 173.436795953
8 35 933.337618905 186.667523781
9 40 962.205306939 192.441061388
10 45 958.955799737 191.791159947
11 50 930.091739218 186.018347844
12 55 882.295575664 176.459115133
13 60 821.717024628 164.343404926
14 65 753.607006725 150.721401345
15 70 682.192871201 136.43857424
16 75 610.703792631 122.140758526
17 80 541.477677812 108.295535562
18 85 476.102866841 95.2205733682
19 90 415.565659199 83.1131318397
20 95 360.3875129 72.0775025799
21 100 310.744276751 62.1488553501
22 105 266.565057663 53.3130115325
23 110 227.611293054 45.5222586107
24 115 193.538088272 38.7076176544
25 120 163.940464581 32.7880929163
26 125 138.387231414 27.6774462828
27 130 116.444994465 23.2889988929
28 135 97.6944892251 19.538897845
29 140 81.7410745231 16.3482149046
30 145 68.2208792326 13.6441758465
